symbol,estacao,dia,parada_inicio,parada_fim,duracao_min
XAUUSDm,inverno_janeiro,2026.01.05,21:58,23:04,67
XAUUSDm,inverno_janeiro,2026.01.06,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.07,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.08,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.12,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.13,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.14,21:58,23:03,66
XAUUSDm,inverno_janeiro,2026.01.15,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.20,21:58,23:00,63
XAUUSDm,inverno_janeiro,2026.01.21,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.22,21:58,23:00,63
XAUUSDm,inverno_janeiro,2026.01.26,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.27,21:58,23:10,73
XAUUSDm,inverno_janeiro,2026.01.28,21:58,23:01,64
XAUUSDm,inverno_janeiro,2026.01.29,21:58,23:01,64
XAUUSDm,verao_julho,2025.07.07,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.08,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.09,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.10,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.14,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.15,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.16,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.17,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.21,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.22,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.23,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.24,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.28,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.29,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.30,20:58,22:02,65
XAUUSDm,verao_julho,2025.07.31,20:58,22:02,65
