bucket,hora_utc,n_barras,ticks_p05,ticks_mediana,ticks_p95,changes_mediana,abaixo_de_128,frac_repetidos,sessao
hora,0.0,61420,23.0,86.0,326.0,63.0,42391,0.2588235294117647,
hora,1.0,61259,46.0,159.0,474.0,120.0,23882,0.240506329113924,
hora,2.0,61440,32.0,117.0,373.0,86.0,33270,0.2586206896551724,
hora,3.0,61317,22.0,91.0,313.0,66.0,40024,0.2666666666666667,
hora,4.0,61489,16.0,68.0,230.0,48.0,48255,0.28358208955223885,
hora,5.0,61496,25.0,101.0,342.0,74.0,37607,0.26,
hora,6.0,61500,40.0,145.0,362.0,107.0,26179,0.2569444444444444,
hora,7.0,61452,50.0,152.0,347.0,113.0,23255,0.2516556291390728,
hora,8.0,60886,50.0,154.0,357.0,114.0,22398,0.2549019607843137,
hora,9.0,61617,42.0,135.0,328.0,98.0,28431,0.26865671641791045,
hora,10.0,61534,36.0,124.0,307.0,90.0,31967,0.2682926829268293,
hora,11.0,61439,39.0,133.0,334.0,97.0,28846,0.26515151515151514,
hora,12.0,61260,59.0,203.0,513.0,154.0,15275,0.2376237623762376,
hora,13.0,61379,112.0,318.0,614.0,248.0,4417,0.21766561514195581,
hora,14.0,61557,122.0,335.0,632.0,257.0,3456,0.2305389221556886,
hora,15.0,61139,88.0,262.0,579.0,198.0,7593,0.24137931034482762,
hora,16.0,61377,56.0,185.0,480.0,136.0,17036,0.26086956521739135,
hora,17.0,61298,40.0,155.0,426.0,112.0,23603,0.2727272727272727,
hora,18.0,60772,33.0,132.0,422.0,94.0,29202,0.2824427480916031,
hora,19.0,59413,30.0,129.0,406.0,89.0,29403,0.3046875,
hora,20.0,57986,14.0,67.0,323.0,47.0,44324,0.28787878787878785,
hora,21.0,19162,9.0,44.0,193.0,31.0,16960,0.2790697674418605,
hora,22.0,39609,7.0,39.0,220.0,28.0,34365,0.26315789473684215,
hora,23.0,60672,9.0,44.0,224.0,32.0,52201,0.2558139534883721,
sessao,,429921,25.0,106.0,360.0,79.0,251608,0.24761904761904763,Asiático
sessao,,306928,42.0,140.0,336.0,102.0,134897,0.26618705035971224,Londres
sessao,,300846,26.0,133.0,423.0,96.0,143568,0.2727272727272727,Nova York
sessao,,245335,86.0,277.0,597.0,213.0,30741,0.2282608695652174,Sobreposição LDN/NY
sessao,,119443,9.0,43.0,219.0,30.0,103526,0.2857142857142857,fora
