hour,n_barras,sigma_usd,sigma_robusto_usd,preco_mediano,sigma_bps
0,8999,2.6825604220320454,1.6901640000004854,4606.365,5.823595008281032
1,9000,3.565157510727097,2.1349439999994066,4604.74,7.742364413033304
2,9000,2.597832515423617,1.5886059000000214,4605.575,5.640625796830183
3,9000,1.985418620055864,1.2157319999995684,4601.6,4.314626695183987
4,9000,1.606217582764809,0.9933420000001079,4605.025,3.4879671288751077
5,9000,2.2057052821722567,1.4084700000010786,4598.02,4.797076311482456
6,9000,2.3907582526443174,1.4974259999989752,4588.15,5.2107238269113205
7,9000,2.1709064985490976,1.4232960000014023,4587.96,4.731746786260337
8,9000,2.3291512717093537,1.4381220000003774,4595.915,5.067872821210474
9,9000,2.1482921749702375,1.3046880000001617,4598.76,4.67145964340439
10,9000,1.965918373357175,1.2453840000002157,4597.4400000000005,4.276115345403475
11,9000,2.567097851606649,1.2898619999998382,4590.639999999999,5.592026060868744
12,9000,2.6018502289506205,1.6753379999988134,4588.83,5.6699643023398565
13,8998,3.3729723067166786,2.3647470000000403,4592.225,7.344963077193905
14,8998,3.389939989336876,2.3869860000005256,4605.030000000001,7.361385244693032
15,9000,3.7933613433058677,2.031161999999838,4609.195,8.22998667512628
16,8998,2.6718804486115855,1.5715559999995818,4604.98,5.80215429515782
17,8880,2.383587255438418,1.3639920000001078,4610.0650000000005,5.170398368436057
18,8849,2.574598623477691,1.2602100000005394,4609.285,5.585678957750912
19,8754,2.304886791844097,1.186079999998921,4614.4400000000005,4.994943680802214
20,8439,2.0884062988502694,0.9888941999992017,4605.879,4.534218764431869
21,2552,2.3934936646669875,1.1794082999995845,4972.855,4.8131177455747
22,5943,2.1313816885919907,1.11195,4506.075,4.73001822781909
23,8793,2.6377877625839234,1.3046879999994876,4595.948,5.739376865412583
