hour,n_barras,sigma_usd,sigma_robusto_usd,preco_mediano,sigma_bps
0,61396,1.2073996519059444,0.37065,2424.365,4.980271749121706
1,61249,1.5876996579876537,0.5337359999995145,2436.665,6.515871726263781
2,61428,1.170953285326813,0.41512799999995953,2430.4300000000003,4.8178852521027675
3,61305,0.9203122775120454,0.33951540000006203,2427.058,3.7918841556816747
4,61469,0.750537232360669,0.2965199999997303,2428.325,3.0907610487091683
5,61483,1.0289662704479767,0.3854759999999865,2422.065,4.248301637024509
6,61492,1.107803297187286,0.4596060000002562,2431.63,4.555805353558255
7,61444,1.052257930821471,0.5040840000002157,2428.375,4.333177251542579
8,60873,1.1158715858391004,0.5040839999998786,2455.295,4.544755664142599
9,61597,1.0088425093105098,0.4447800000002697,2425.085,4.160029480659481
10,61526,0.9396063698194761,0.41512800000029665,2429.7315,3.8671201728235247
11,61431,1.1467654962771716,0.4447800000002697,2439.095,4.701602423346248
12,61251,1.3285471162640212,0.6182441999998759,2440.335,5.444117779993407
13,61366,1.663507955155489,0.8599080000005663,2429.6845000000003,6.8466006806870965
14,61544,1.6760235781464081,0.8599079999998921,2429.8715,6.897581119604094
15,61131,1.7031136030013787,0.7116480000000269,2431.434,7.004564396982927
16,61363,1.2513868841781925,0.5381837999997464,2430.538,5.148600368223795
17,61283,1.1034595969638865,0.4596059999999191,2427.765,4.545166426585302
18,60756,1.1582337355276253,0.4003020000006472,2432.005,4.762464450227797
19,59403,1.0589833186459352,0.37065,2423.598,4.369467703166677
20,57270,0.9278879537902194,0.2816940000000809,2429.448,3.819336548015102
22,37785,1.0830360681471158,0.27724620000018607,2444.755,4.430039280611414
23,60297,1.1775405239520884,0.27279839999995414,2421.795,4.862263420116436
