ts,ticks
2022-08-01,215511
2022-08-02,243994
2022-08-03,208249
2022-08-04,195459
2022-08-05,205388
2022-08-07,4568
2022-08-08,178815
2022-08-09,154540
2022-08-10,187782
2022-08-11,186435
2022-08-12,155654
2022-08-14,3110
2022-08-15,183788
2022-08-16,139023
2022-08-17,193553
2022-08-18,178138
2022-08-19,161273
2022-08-21,3869
2022-08-22,180409
2022-08-23,175858
2022-08-24,163107
2022-08-25,159593
2022-08-26,177651
2022-08-28,7550
2022-08-29,175795
2022-08-30,171381
2022-08-31,187347
2022-09-01,204303
2022-09-02,184381
2022-09-04,4963
2022-09-05,103799
2022-09-06,204051
2022-09-07,206856
2022-09-08,239593
2022-09-09,199305
2022-09-11,4975
2022-09-12,171446
2022-09-13,209621
2022-09-14,223264
2022-09-15,218727
2022-09-16,209219
2022-09-18,6081
2022-09-19,173115
2022-09-20,191082
2022-09-21,247264
2022-09-22,269024
2022-09-23,264978
2022-09-25,6342
2022-09-26,292952
2022-09-27,254497
2022-09-28,300928
2022-09-29,279245
2022-09-30,237140
2022-10-02,6296
2022-10-03,261122
2022-10-04,247454
2022-10-05,241357
2022-10-06,221478
2022-10-07,231596
2022-10-09,5117
2022-10-10,173271
2022-10-11,217120
2022-10-12,248322
2022-10-13,271680
2022-10-14,257867
2022-10-16,6622
2022-10-17,199392
2022-10-18,187110
2022-10-19,171829
2022-10-20,165780
2022-10-21,243853
2022-10-23,19102
2022-10-24,201594
2022-10-25,174266
2022-10-26,173576
2022-10-27,183221
2022-10-28,131277
2022-10-30,5343
2022-10-31,116581
2022-11-01,156325
2022-11-02,165733
2022-11-03,169571
2022-11-04,196233
2022-11-06,5679
2022-11-07,155072
2022-11-08,158334
2022-11-09,179532
2022-11-10,202429
2022-11-11,202818
2022-11-13,4646
2022-11-14,163343
2022-11-15,243019
2022-11-16,191033
2022-11-17,179314
2022-11-18,151068
2022-11-20,2796
2022-11-21,138136
2022-11-22,122437
2022-11-23,144933
2022-11-24,92440
2022-11-25,107879
2022-11-27,2760
2022-11-28,156283
2022-11-29,140008
2022-11-30,167705
2022-12-01,144936
2022-12-02,169342
2022-12-04,3691
2022-12-05,161960
2022-12-06,139561
2022-12-07,153879
2022-12-08,118883
2022-12-09,150672
2022-12-11,2812
2022-12-12,123198
2022-12-13,204307
2022-12-14,188103
2022-12-15,185646
2022-12-16,160114
2022-12-18,3021
2022-12-19,139197
2022-12-20,213604
2022-12-21,150124
2022-12-22,167560
2022-12-23,124085
2022-12-26,2505
2022-12-27,143216
2022-12-28,136664
2022-12-29,129522
2022-12-30,166490
2023-01-02,4650
2023-01-03,206215
2023-01-04,184620
2023-01-05,188698
2023-01-06,158687
2023-01-08,4639
2023-01-09,159054
2023-01-10,160818
2023-01-11,162684
2023-01-12,199606
2023-01-13,181580
2023-01-15,4290
2023-01-16,107959
2023-01-17,145253
2023-01-18,212713
2023-01-19,189176
2023-01-20,156095
2023-01-22,2922
2023-01-23,163186
2023-01-24,159410
2023-01-25,156642
2023-01-26,162453
2023-01-27,126848
2023-01-29,2653
2023-01-30,140441
2023-01-31,162747
2023-02-01,187176
2023-02-02,216869
2023-02-03,204234
2023-02-05,5936
2023-02-06,167110
2023-02-07,190653
2023-02-08,150513
2023-02-09,161337
2023-02-10,164347
2023-02-12,3196
2023-02-13,130248
2023-02-14,195574
2023-02-15,164795
2023-02-16,137158
2023-02-17,146410
2023-02-19,2345
2023-02-20,78972
2023-02-21,153925
2023-02-22,151740
2023-02-23,148005
2023-02-24,146360
2023-02-26,2784
2023-02-27,139813
2023-02-28,137772
2023-03-01,152255
2023-03-02,151184
2023-03-03,129083
2023-03-05,2315
2023-03-06,127066
2023-03-07,149407
2023-03-08,138607
2023-03-09,130990
2023-03-10,194527
2023-03-12,26102
2023-03-13,307957
2023-03-14,232009
2023-03-15,275603
2023-03-16,251616
2023-03-17,246126
2023-03-19,11890
2023-03-20,256271
2023-03-21,192526
2023-03-22,212482
2023-03-23,226615
2023-03-24,220309
2023-03-26,7392
2023-03-27,152378
2023-03-28,156766
2023-03-29,136119
2023-03-30,149753
2023-03-31,157468
2023-04-02,9350
2023-04-03,167816
2023-04-04,165217
2023-04-05,151180
2023-04-06,143007
2023-04-09,5874
2023-04-10,116885
2023-04-11,105554
2023-04-12,164624
2023-04-13,144673
2023-04-14,174218
2023-04-16,5033
2023-04-17,146174
2023-04-18,117940
2023-04-19,163197
2023-04-20,139580
2023-04-21,149360
2023-04-23,3569
2023-04-24,139939
2023-04-25,164514
2023-04-26,181321
2023-04-27,178567
2023-04-28,174808
2023-04-30,4712
2023-05-01,144735
2023-05-02,162511
